price,year,manufacturer,condition,cylinders,fuel,odometer,title_status,transmission,drive,type,paint_color
34590,2018,ford,good,6 cylinders,gas,20856,clean,other,,pickup,white
39990,2019,nissan,good,6 cylinders,gas,8373,clean,other,rwd,coupe,white
30590,2016,toyota,good,,other,30176,clean,other,,pickup,red
11587,2013,ford,,4 cylinders,gas,215046,clean,other,fwd,SUV,black
4000,2002,toyota,like new,4 cylinders,gas,160000,clean,automatic,fwd,sedan,white
2999,2007,ford,,6 cylinders,gas,162029,clean,automatic,fwd,sedan,blue
10800,2013,toyota,excellent,4 cylinders,hybrid,147000,clean,automatic,fwd,sedan,grey
0,2018,infiniti,excellent,6 cylinders,gas,30362,clean,automatic,,sedan,white
5500,2008,nissan,like new,4 cylinders,gas,150000,clean,automatic,fwd,sedan,white
34500,2012,bmw,,8 cylinders,gas,53723,clean,automatic,,,
3200,1988,chevrolet,,,gas,191000,rebuilt,automatic,,,
500,2021,,fair,other,other,1400,clean,other,,bus,green
19990,2020,nissan,,,gas,6591,clean,automatic,fwd,,black
26990,2020,nissan,,,gas,323,clean,automatic,rwd,,red
31988,2019,nissan,,,gas,15566,clean,automatic,fwd,,blue
11977,2009,toyota,,,gas,76662,clean,automatic,,,red
35990,2016,dodge,good,,other,18955,clean,other,rwd,coupe,black
34990,2018,ram,good,6 cylinders,other,22064,clean,other,4wd,pickup,silver
38995,2012,ford,,,gas,9205,clean,automatic,4wd,,white
10500,2013,volkswagen,excellent,,diesel,91000,clean,automatic,,,black
18250,2016,ford,excellent,,gas,69000,clean,automatic,,,blue
19900,2017,ford,excellent,,gas,71000,clean,automatic,,,silver
